INFO  - 2013-08-01 17:06:06.280; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2013-08-01 17:06:06.301; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /tmp/solr-4.4.0/example/contexts at interval 0
INFO  - 2013-08-01 17:06:06.306; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /tmp/solr-4.4.0/example/contexts/solr-jetty-context.xml
INFO  - 2013-08-01 17:06:06.354; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/tmp/solr-4.4.0/example/webapps/solr.war!/ to /tmp/solr-4.4.0/example/solr-webapp/webapp
INFO  - 2013-08-01 17:06:07.745; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2013-08-01 17:06:07.779; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2013-08-01 17:06:07.859; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2013-08-01 17:06:07.859; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2013-08-01 17:06:07.860; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2013-08-01 17:06:07.958; org.apache.solr.core.ConfigSolr; Loading container configuration from /tmp/solr-4.4.0/example/solr/solr.xml
INFO  - 2013-08-01 17:06:08.114; org.apache.solr.core.SolrCoreDiscoverer; Looking for cores in /tmp/solr-4.4.0/example/solr
INFO  - 2013-08-01 17:06:08.114; org.apache.solr.core.SolrCoreDiscoverer; Looking for cores in /tmp/solr-4.4.0/example/solr/bin
INFO  - 2013-08-01 17:06:08.114; org.apache.solr.core.SolrCoreDiscoverer; Discovered properties file /tmp/solr-4.4.0/example/solr/collection1/core.properties, adding to cores
INFO  - 2013-08-01 17:06:08.119; org.apache.solr.core.CoreContainer; New CoreContainer 358529815
INFO  - 2013-08-01 17:06:08.120; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2013-08-01 17:06:08.132; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2013-08-01 17:06:08.135; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: http://
INFO  - 2013-08-01 17:06:08.135; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2013-08-01 17:06:08.135; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2013-08-01 17:06:08.135; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2013-08-01 17:06:08.136; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2013-08-01 17:06:08.136; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2013-08-01 17:06:08.136; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2013-08-01 17:06:08.136; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2013-08-01 17:06:08.142; org.apache.solr.client.solrj.impl.HttpClientUtil; Creating new http client, config:maxConnectionsPerHost=20&maxConnections=10000&socketTimeout=0&connTimeout=0&retry=false
INFO  - 2013-08-01 17:06:08.446; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2013-08-01 17:06:08.460; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using instanceDir: /tmp/solr-4.4.0/example/solr/collection1
INFO  - 2013-08-01 17:06:08.460; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/tmp/solr-4.4.0/example/solr/collection1/'
INFO  - 2013-08-01 17:06:08.555; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - 2013-08-01 17:06:08.558; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/contrib/extraction/lib/xz-1.0.jar' to classloader
INFO  - 2013-08-01 17:06:08.558; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/contrib/extraction/lib/xmlbeans-2.3.0.jar' to classloader
INFO  - 2013-08-01 17:06:08.558; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2013-08-01 17:06:08.558; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2013-08-01 17:06:08.559; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2013-08-01 17:06:08.559; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/contrib/extraction/lib/tika-parsers-1.4.jar' to classloader
INFO  - 2013-08-01 17:06:08.559; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/contrib/extraction/lib/tika-core-1.4.jar' to classloader
INFO  - 2013-08-01 17:06:08.559; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2013-08-01 17:06:08.560; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2013-08-01 17:06:08.560; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/contrib/extraction/lib/poi-scratchpad-3.9.jar' to classloader
INFO  - 2013-08-01 17:06:08.560; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/contrib/extraction/lib/poi-ooxml-schemas-3.9.jar' to classloader
INFO  - 2013-08-01 17:06:08.560; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/contrib/extraction/lib/poi-ooxml-3.9.jar' to classloader
INFO  - 2013-08-01 17:06:08.560; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/contrib/extraction/lib/poi-3.9.jar' to classloader
INFO  - 2013-08-01 17:06:08.561; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/contrib/extraction/lib/pdfbox-1.8.1.jar' to classloader
INFO  - 2013-08-01 17:06:08.561; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/contrib/extraction/lib/netcdf-4.2-min.jar' to classloader
INFO  - 2013-08-01 17:06:08.561; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2013-08-01 17:06:08.561; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2013-08-01 17:06:08.561; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/contrib/extraction/lib/jempbox-1.8.1.jar' to classloader
INFO  - 2013-08-01 17:06:08.562; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2013-08-01 17:06:08.562; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2013-08-01 17:06:08.562; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/contrib/extraction/lib/icu4j-49.1.jar' to classloader
INFO  - 2013-08-01 17:06:08.562; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/contrib/extraction/lib/fontbox-1.8.1.jar' to classloader
