INFO  - 2014-05-20 17:42:40.182; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2014-05-20 17:42:40.232; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /opt/solr/example/contexts at interval 0
INFO  - 2014-05-20 17:42:40.245; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /opt/solr/example/contexts/solr-jetty-context.xml
INFO  - 2014-05-20 17:42:40.364; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/opt/solr/example/webapps/solr.war!/ to /opt/solr/example/solr-webapp/webapp
INFO  - 2014-05-20 17:42:43.931; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2014-05-20 17:42:44.146; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2014-05-20 17:42:44.204; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2014-05-20 17:42:44.205; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2014-05-20 17:42:44.207; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2014-05-20 17:42:44.498; org.apache.solr.core.ConfigSolr; Loading container configuration from /opt/solr/example/solr/solr.xml
INFO  - 2014-05-20 17:42:44.913; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: /opt/solr/example/solr
INFO  - 2014-05-20 17:42:44.934; org.apache.solr.core.CoreContainer; New CoreContainer 1324180225
INFO  - 2014-05-20 17:42:44.937; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2014-05-20 17:42:44.968; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2014-05-20 17:42:44.969; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2014-05-20 17:42:44.979; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2014-05-20 17:42:44.984; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2014-05-20 17:42:44.985; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2014-05-20 17:42:44.986; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2014-05-20 17:42:44.986; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2014-05-20 17:42:44.987; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2014-05-20 17:42:44.987; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2014-05-20 17:42:45.322; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2014-05-20 17:42:45.325; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2014-05-20 17:42:45.328; org.apache.solr.core.CoreContainer; Host Name: 
INFO  - 2014-05-20 17:42:45.869; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath /opt/solr/example/solr
INFO  - 2014-05-20 17:42:45.887; org.apache.solr.core.CorePropertiesLocator; Found core pinder in /opt/solr/example/solr/pinder/
INFO  - 2014-05-20 17:42:45.888; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2014-05-20 17:42:45.892; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/opt/solr/example/solr/pinder/'
INFO  - 2014-05-20 17:42:46.082; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - 2014-05-20 17:42:46.087; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/contrib/extraction/lib/tika-core-1.5.jar' to classloader
INFO  - 2014-05-20 17:42:46.088; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/contrib/extraction/lib/asm-3.1.jar' to classloader
INFO  - 2014-05-20 17:42:46.089; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
